From UniProt	Unique from NCBI Protein			
A0A416APX7	WP_242843134.1			
A9KPI1	WP_320983417.1			
A0A373LPC5	WP_146043807.1			
A0A396NC18	WP_276953576.1			
A0A3D2XAG9	WP_317439625.1			
A0A3R6QRW3	WP_215701254.1			
R5DZ73	WP_242647792.1			
A0A358VKK6	WP_191231886.1			
A0A3D4SAH3	WP_178302357.1			
A0A7G9FJ85	WP_415066333.1			
A0A3N1XS32	WP_024346676.1			
A0A356C4C6	WP_367030458.1			
A0A1Q6MBW1	WP_412325819.1			
A0A373ZM38	WP_178313214.1			
R6R2E0	WP_349674233.1			
A0A0X8VD89	WP_124066387.1			
A0A3R6TNN4	WP_143318996.1			
A0A1Y4ULX1	WP_394522156.1			
R5YNN0	WP_346917845.1			
A0A416SWU6	WP_027643987.1			
R7HCL9	WP_077610911.1			
R5NSB4	WP_026891393.1			
A0A3D4VUK7	WP_313074456.1			
A0A3B8SEN6	WP_320923589.1			
A0A6L5XWS9	WP_195626653.1			
A0A3R6U6V9	WP_367335190.1			
A0A1M7H5A5	WP_349121123.1			
A0A7C6JW11	WP_227808766.1			
A0A3R6WTX0	WP_337547883.1			
A0A416JHJ5	WP_027430801.1			
A0A1Q6K8V0	WP_027437451.1			
R5SL98	WP_302630086.1			
R5AND7	WP_299055986.1			
R6LP22	WP_118009017.1			
A0A3D5WK07	WP_040446833.1			
A0A7U6QIC4	WP_302629378.1			
A0A1G9VCB2	WP_302626500.1			
A0A351XID8	WP_208428075.1			
A0A373TFQ3	WP_315103260.1			
A0A417WAQ8	WP_173471726.1			
A0A2V2C801	WP_295681251.1			
A0A416I6J6	WP_349172305.1			
A0A3R6S7T0	WP_216576059.1			
A0A1C5Q733	WP_167954716.1			
A0A3R6T8A9	WP_310603928.1			
R5ED84	WP_297933775.1			
A0A416WC44	WP_055273441.1			
A0A143Y0W7	WP_148401688.1			
A0A373ZNJ7	WP_293756963.1			
D9R080	WP_337474250.1			
A0A1H5RKA6	WP_033166851.1			
R5KL02	WP_249302138.1			
A0A401LES1	WP_278274817.1			
R6L2V5	WP_313129261.1			
A0A136WCZ5	WP_308742265.1			
R7BAX0	MCI8660269.1			
A0A847NHW8	MDD6402007.1			
R6AE85	HIT43161.1			
A0A174YQR9	HHX79089.1			
A0A3D4LNL7	MCR5214213.1			
A0A1T4LW44	MDD6136927.1			
A0A7X4IB97	MDY5806455.1			
A0A417QUW3	MBO4997899.1			
A0A3C0J540	HIX16375.1			
A0A1M6W313	MBP3718737.1			
A0A417RK43	MCD7824652.1			
A0A3D1NMZ8	NLJ95962.1			
A0A1I0QM73	MDO4316699.1			
A0A7C6IWY5	MCR4715759.1			
C4Z039	MCR5824669.1			
A0A0H5SEA6	MCI6675590.1			
A0A415MB77	MBO7403290.1			
A0A3R6VCW5	CDD56864.1			
A0A350W131	MBP3568303.1			
A7VBM1	MCR5704759.1			
V2Z7M6	NLO08367.1			
A0A1Y3U4T9	NLK28838.1			
A0A7R7EKJ1	NLZ81854.1			
A0A351PW51	MBQ5561096.1			
R7K241	MFQ9515139.1			
A0A3A8YS52	MCD8120216.1			
A0A351RHQ0	MCR5632370.1			
A0A496NDW1	MEG0564690.1			
A0A0V8QG56	HIR87310.1			
R7C722	MBE5935142.1			
A0A354I383	MBQ9984419.1			
A0A2K2TNZ2	MCI6017611.1			
A0A3D0GZN8	MBQ4057435.1			
R6Q5L0	MBQ7635858.1			
A0A839K2V4	MBQ8638054.1			
A0A3D2I0N1	MDD3174244.1			
A0A3C0MJE2	MBQ4232282.1			
A0A413P7H0	MBQ8412687.1			
R6YKD9	NLC19329.1			
A0A3R6SN78	MBR0133619.1			
A0A1I0B2Z9	MBO5228115.1			
A0A354J5U3	MBQ7432524.1			
A0A349AQD1	MCI5849727.1			
R7BJV9	MDO4329058.1			
R5VQT9	MBQ2981521.1			
A0A4R3KZ81	MBP3338865.1			
R6Q9P4	MBQ8147350.1			
A0A3D5LWM4	MCI9535913.1			
D4RW45	MBP3326460.1			
A0A1H9H1E3	NLL73437.1			
A0A3R6J9H6	MDF2800273.1			
A0A7X9CMK0	MFR4439321.1			
A0A1Q6NBQ1	MDE7210955.1			
A0A349YRQ7	MDD5900347.1			
A0A352SEX4	MCR4840196.1			
A0A521JT06	MCM1157696.1			
A0A1I6KJ20	CVI72981.1			
A0A352T5L1	MDD5993394.1			
A0A3R6TU67	MBQ9199434.1			
R7IQE3	MCX4267653.1			
A0A1Q6MJF5	MCR5292048.1			
A0A373M606	MBQ1689437.1			
R5JFA4	MBQ3513600.1			
A0A174YUC6	WP_432629449.1			
A0A831A4F3	MCI8535039.1			
A0A2N2B6Z5	HCA21626.1			
A0A1Q6KXK0	MCM1307686.1			
R6JT76	MBE5951788.1			
A0A6P1TST0	MCI8769847.1			
A0A3D0HQH7	MDO4324461.1			
A0A173XXU8	MBO5198997.1			
A0A7W8M5J2	MDE6025767.1			
N1ZHV6	HBZ64869.1			
A0A3R6WP66	MFT4144681.1			
R7I1B0	MDF2950790.1			
D5HG37	MBQ7708238.1			
A0A3A6JAA8	MCI8836886.1			
A0A2M8Z459	MCI8951433.1			
A0A1C6BLL0	MCI9370594.1			
A0A847XGP9	MCT4545294.1			
A0A3D2DHZ9	MBP3595105.1			
A0A3F3S388	MBP7427277.1			
A0A374JU36	HIU66641.1			
A0A176U858	MCI8625863.1			
A0A265Q1W8	MDE6624973.1			
A0A7X8EQ82	MDD6571493.1			
R5NM63	CDE45699.1			
A0A1M4ZK60	MBQ2643002.1			
A0A4Q7P0Q9	MCI8889145.1			
A8SPL3	HCH81568.1			
M1Z8K0	MBR3833234.1			
A0A1M7YCP9	MDF2510993.1			
A0A3D3U470	MDD7403422.1			
A0A6N7XQJ4	MCI5587894.1			
A0A1S1V684	MBQ8949921.1			
U2B653	RKI30202.1			
A0A174KFP1	MCR5702105.1			
A0A6N2YYG4	MDE7300295.1			
A0A1I0BY35	MDD6405163.1			
R5VWZ1	MBR3041304.1			
A0A7C6PEK3	MCI5640839.1			
A0A4R1MXB5	MCI9360613.1			
G5IG33	MBQ9234039.1			
A0A6N9P115	MBQ8317321.1			
A0A7C6P8Y4	MDE5967335.1			
K0AVS2	NLL01023.1			
A0A1Q6LU62	MCI9079703.1			
R5TUW1	MBE5937659.1			
A0A7C6VQZ0	MBR1815397.1			
A0A7X8HWL1	MCI9594340.1			
A0A1M5Z5L6	MFR0865090.1			
R0A9I8	MDF2907498.1			
A0A173X568	MBQ3600451.1			
A0A413XBQ3	MBQ5734107.1			
A0A7C8HGK6	MCH5268546.1			
A0A1C6KPT6	MBE5946019.1			
A0A845QWC9	MCI6165268.1			
A0A844FK93	MBQ3933294.1			
A0A6N2T6B5	MBO6114818.1			
R7PJL8	HAP33022.1			
A0A1M6P148	MCI9410835.1			
A0A413FL44	MFR2320087.1			
A0A174IM58	MDF2486851.1			
A0A1H2TZR4	HAZ91771.1			
A0A1I0EQM4	MCR5691637.1			
A0A0E2HCU5	MDD6326882.1			
A0A5M8BS22	MBR3771717.1			
A0A1M5UM57	MBO4669780.1			
R0AJM6	MBO5177947.1			
A0A6S6R811	HIQ74150.1			
E7GT06	MCI9590119.1			
A0A3D1FMY8	MBQ5446207.1			
F2JGU1	MCR5228192.1			
A0A416E8K6	MFV0343238.1			
A0A7I8DPU5	NBH73928.1			
R0D5I5	MDO5156717.1			
A0A1H9D199	MBQ1327715.1			
R5F874	MCI9282402.1			
A0A413JLU7	MCI8606417.1			
A0A414AUT6	MBD5157662.1			
A0A1I2K703	MCR5202862.1			
R6K143	SNU06139.1			
A0A1C7GE67	MBQ8982253.1			
A0A5B9YEV6	MFT4004266.1			
A0A419T598	MCR4779382.1			
A0A4R3MU74	MBO5483850.1			
A0A6M5G6N3	MFG6326594.1			
A0A2V3Y7A4	MCI7275155.1			
N9X606	MFQ9933775.1			
A0A8B2X8R1	MCH5264375.1			
A0A412Z6B7	MDO4268028.1			
A0A096CTK5	MCR5216397.1			
A0A350H2Z1	MBO5261242.1			
A0A7V6NMD3	MCD7909235.1			
A0A0L0WDM8	MBD5136958.1			
A0A1S9CR51	MBR1598589.1			
A0A6P1Y9Q7	WP_432628201.1			
R1AV96	CDB68597.1			
A0A7X8PWS5	MCI9102757.1			
A0A7X8E6G3	MCH5252629.1			
A0A3C1YI76	MBQ8281651.1			
A0A2G3Q166	MEG2441816.1			
A0A1T4VX25	MDE7325005.1			
A0A410QEN2	MBQ6229943.1			
A0A1I6MXR1	MDD6222231.1			
A0A2S6HVZ2	MEE3392414.1			
A0A3B9Z9E4	MCQ2537819.1			
A0A1G4FN86	MDY5578222.1			
A0A7C9L5Q6	MCX4326130.1			
A0A3E2VI27	MCI8780228.1			
A0A3E2N752	MCI9541497.1			
A0A7C6Y3Q9	MBS6646018.1			
A0A0F0CMQ6	MDD4111960.1			
A0A0N8NM23	NLP15470.1			
A0A1C5MNN0	MDD6334585.1			
A0A3D0JFZ8	MDD6796854.1			
A0A3E2WPG5	MCI8661707.1			
A0A357AQL5	NLJ89909.1			
A0A3A6HZI9	TAH75115.1			
A0A0F5PK23	MFA9463741.1			
A0A413WES9	MBE5932466.1			
A0A7Y2PL47	MDF2610131.1			
A0A1V2YK29	MBE5965233.1			
A0A097AT07	MDF2944999.1			
A0A4R2KE64	MBQ2320854.1			
A0A844J8B6	MBS5545107.1			
D3T484	MDD5935879.1			
A0A101E4B0	CDD66080.1			
A0A0B3BR39	MCI8308527.1			
D7AR00	MFG6328210.1			
A0A831NKI0	MBO5426399.1			
Q8R8K2	SEQ56058.1			
G2MRK3	MCM1497632.1			
I9KS25	MDE7156498.1			
A0A1S9CIJ5	MCR5743580.1			
A0A1M4VWK3	MBE5952997.1			
M8DGH1	MDE5778116.1			
A0A7C6VHF7	MCI8726538.1			
B0K655	HBI73131.1			
E8UVT4	HHU73748.1			
A0A101D9W5	MFG6395221.1			
A0A841KRQ1	MDF2819954.1			
B0K766	MDD6070190.1			
A0A7X5KNB7	MBR6642649.1			
W9ECF6	MDD6332704.1			
A0A7C6Q3H8	NMB44377.1			
A0A140L100	MCR5835940.1			
A0A1D8GCQ5	MDY3910028.1			
A0A1X2FZI6	MBQ3665108.1			
F6BHG4	HHU71055.1			
A0A1S9CFG8	MBE5922669.1			
I3VUN2	MBP3617147.1			
F3ZWJ8	MCH5273490.1			
A0A223I0A5	MDO5293186.1			
L0IJ95	MFR1766678.1			
A0A231VL63	MCR5154877.1			
J7M754	MDD6207649.1			
A0A509D8K1	MFR8226937.1			
A0A139P2L9	RHQ19786.1			
A0A5S4TNE7	MCM1272251.1			
D9TT17	HWT75582.1			
A0A6B3RDA8	MBE5928862.1			
A0A224WYH8	MFR8032522.1			
A0A1X1KDZ3	MDD6790305.1			
A0A139P787	MBP3598662.1			
A0A285BHT5	MBQ4067675.1			
I2J4Q8	SEQ06583.1			
A0A4S8NMM6	MCI8508977.1			
A0A2S4J9V6	HJB06539.1			
A0A5E4A590	MCM1179221.1			
A0A371XHX3	MBR4515711.1			
A0A5D8QB50	MDD6102774.1			
A0A494WWV6	GLC82932.1			
A0A495KN19	MCI8792974.1			
A0A7C1KQM6	HHV10352.1			
A0A2N7SGW1	MCI5937608.1			
A0A6P3DUB9	GMQ60381.1			
A0A505HVY5	MDE6566259.1			
A0A855WDW2	MBQ2745684.1			
A0A3E3AE40	MDO5406513.1			
A0A158P751	MDF2538214.1			
	MCI7061878.1			
	MBO5353812.1			
	MBR6222114.1			
	MBP3702672.1			
	MCI8668062.1			
	MBO5486625.1			
	MBQ8800206.1			
	MDE7422236.1			
	MBS7182937.1			
	MFR5323260.1			
	MDE7052456.1			
	MBR6898157.1			
	MCM1287091.1			
	MBE5948217.1			
	MBQ4521577.1			
	MDF2542208.1			
	MCI8518135.1			
	MBO5087460.1			
	MDD3252411.1			
	MCI9500890.1			
	MCI9162306.1			
	MBP3238204.1			
	MCI9147449.1			
	MDO4166651.1			
	MDE6875281.1			
	MDY2789645.1			
	MEY8352044.1			
	NLP35293.1			
	MDI9508816.1			
	MFW6015458.1			
	MBO5071706.1			
	MBE5968491.1			
	MDO5381873.1			
	MBE5962831.1			
	MBE5939922.1			
	CDC39364.1			
	MBQ8548974.1			
	MBE5944373.1			
	MCI8427773.1			
	MCM1244139.1			
	MBR1866653.1			
	MBD5096308.1			
	NLK74086.1			
	CDE53548.1			
	MCI6499286.1			
	MCI5732104.1			
	MCR5106131.1			
	MBQ9119404.1			
	MDO5402146.1			
	MBR0146525.1			
	MBP3233274.1			
	MBO6163235.1			
	MCI9048262.1			
	MDE6209750.1			
	HKL79763.1			
	MBD8974092.1			
	WP_429150009.1			
	MBP5159796.1			
	MCI8643907.1			
	NLZ83858.1			
	MCI8338386.1			
	MBR4588699.1			
	MCI9616657.1			
	MBQ8085044.1			
	MBR3645571.1			
	MBE5957680.1			
	MBO5610387.1			
	MFR1834352.1			
	RKJ07145.1			
	NLL92950.1			
	MDO4295450.1			
	MDD3173626.1			
	HJC24694.1			
	MCM1494173.1			
	MCT4597918.1			
	MBR6404207.1			
	MBQ3545748.1			
	MCI6885879.1			
	MCI9052999.1			
	MCR5737578.1			
	MBE5941425.1			
	MGB4661222.1			
	MDO5417332.1			
	MCR5147634.1			
	MEE3398747.1			
	CCY58709.1			
	MBQ5916943.1			
	MBR6218815.1			
	MDD6035715.1			
	MCI6914924.1			
	MDD5950004.1			
	MBP5249165.1			
	HBA96469.1			
	MBE5929777.1			
	MCI5805659.1			
	HKM00183.1			
	MBQ9610668.1			
	MFU0826865.1			
	MDO5520266.1			
	MDY2922597.1			
	MDY4742983.1			
	MBP3620296.1			
	MCI8268333.1			
	MCI8750127.1			
	MBQ2276868.1			
	MBO4864780.1			
	MBQ9871561.1			
	BBF42047.1			
	HHT88902.1			
	MCR5544431.1			
	HBI59971.1			
	MCR4839727.1			
	MFR2236226.1			
	NLY47986.1			
	HHX11630.1			
	MBO5237413.1			
	MGB8454985.1			
	MDD6340247.1			
	MDF2886904.1			
	WP_349948214.1			
	WP_308451465.1			
	WP_118301238.1			
	WP_058258483.1			
	WP_118498213.1			
	WP_118560255.1			
	WP_197659923.1			
	WP_308145827.1			
