protein_accession,protein_name,protein_length,gene,organism_taxid,organism_name,organism_fullname,in_alphafold,interpro_accession,entry_type,entry_integrated,interpro_protein_length,fragment_start,fragment_end,fragment_status
A0A016TD59,Calcineurin-like phosphoesterase domain-containing protein,907,Acey_s0112.g336,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR010793,family,,907,18,478,CONTINUOUS
A0A016TDZ9,Uncharacterized protein,684,Acey_s0112.g336,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR010793,family,,684,18,460,CONTINUOUS
A0A016TE39,Uncharacterized protein,486,Acey_s0112.g336,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR010793,family,,486,18,485,CONTINUOUS
A0A016TE72,Calcineurin-like phosphoesterase domain-containing protein,903,Acey_s0112.g336,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR010793,family,,903,18,460,CONTINUOUS
A0A023ERX1,Large ribosomal subunit protein mL37,420,,7160,Aedes albopictus,Aedes albopictus (Asian tiger mosquito),True,IPR010793,family,,420,308,417,CONTINUOUS
A0A023FJT9,Large ribosomal subunit protein mL37,420,,34607,Amblyomma cajennense,Amblyomma cajennense (Cayenne tick),True,IPR010793,family,,420,311,410,CONTINUOUS
A0A023FLT4,Putative ribosomal protein,490,,34607,Amblyomma cajennense,Amblyomma cajennense (Cayenne tick),True,IPR010793,family,,490,31,421,CONTINUOUS
A0A023GJW2,Large ribosomal subunit protein mL37,420,,251400,Amblyomma triste,Amblyomma triste (Neotropical tick),False,IPR010793,family,,420,312,410,CONTINUOUS
A0A026WIE1,Large ribosomal subunit protein mL37,411,X777_03992,2015173,Ooceraea biroi,Ooceraea biroi (Clonal raider ant),True,IPR010793,family,,411,314,409,CONTINUOUS
A0A026WNJ2,"28S ribosomal protein S30, mitochondrial",571,X777_02268,2015173,Ooceraea biroi,Ooceraea biroi (Clonal raider ant),True,IPR010793,family,,571,54,456,CONTINUOUS
A0A061IDJ3,"39S ribosomal protein S30, mitochondrial isoform X2",439,Mrps30,10029,Cricetulus griseus,Cricetulus griseus (Chinese hamster),True,IPR010793,family,,439,1,420,CONTINUOUS
A0A067QEA0,Large ribosomal subunit protein mL37,431,L798_07992,136037,Zootermopsis nevadensis,Zootermopsis nevadensis (Dampwood termite),True,IPR010793,family,,431,310,425,CONTINUOUS
A0A067R2A7,"28S ribosomal protein S30, mitochondrial",549,L798_09998,136037,Zootermopsis nevadensis,Zootermopsis nevadensis (Dampwood termite),True,IPR010793,family,,549,21,435,CONTINUOUS
A0A068XXN9,Ribosomal protein S30 mitochondrial,637,EmuJ_000331900,6211,Echinococcus multilocularis,Echinococcus multilocularis (Fox tapeworm),True,IPR010793,family,,637,84,492,CONTINUOUS
A0A069DYX5,Large ribosomal subunit protein mL37,413,,65343,Panstrongylus megistus,Panstrongylus megistus,True,IPR010793,family,,413,306,412,CONTINUOUS
A0A069DZ91,Putative 28s ribosomal protein s30 mitochondrial,550,,65343,Panstrongylus megistus,Panstrongylus megistus,True,IPR010793,family,,550,11,429,CONTINUOUS
A0A074Z8V2,Large ribosomal subunit protein mL37,654,T265_08530,6198,Opisthorchis viverrini,Opisthorchis viverrini (Southeast Asian liver fluke),True,IPR010793,family,,654,516,600,CONTINUOUS
A0A075A459,"28S ribosomal protein S30, mitochondrial",764,T265_00970,6198,Opisthorchis viverrini,Opisthorchis viverrini (Southeast Asian liver fluke),True,IPR010793,family,,764,320,463,CONTINUOUS
A0A075A459,"28S ribosomal protein S30, mitochondrial",764,T265_00970,6198,Opisthorchis viverrini,Opisthorchis viverrini (Southeast Asian liver fluke),True,IPR010793,family,,764,467,590,CONTINUOUS
A0A076KUN5,"28S ribosomal protein S30, mitochondrial",291,,299642,Nephila pilipes,Nephila pilipes (Giant wood spider),True,IPR010793,family,,291,24,291,CONTINUOUS
