protein_accession,protein_name,protein_length,gene,organism_taxid,organism_name,organism_fullname,in_alphafold,interpro_accession,entry_type,entry_integrated,interpro_protein_length,fragment_start,fragment_end,fragment_status
A0A010R3W2,18S rRNA aminocarboxypropyltransferase,393,TSR3,1445577,Colletotrichum fioriniae PJ7,Colletotrichum fioriniae PJ7,True,IPR007177,domain,,393,79,205,CONTINUOUS
A0A015IY57,18S rRNA aminocarboxypropyltransferase,293,TSR3,1432141,Rhizophagus irregularis (strain DAOM 197198w),Rhizophagus irregularis (strain DAOM 197198w),True,IPR007177,domain,,293,101,227,CONTINUOUS
A0A015KI80,18S rRNA aminocarboxypropyltransferase,231,TSR3,1432141,Rhizophagus irregularis (strain DAOM 197198w),Rhizophagus irregularis (strain DAOM 197198w),True,IPR007177,domain,,231,39,165,CONTINUOUS
A0A016SDD5,18S rRNA aminocarboxypropyltransferase,191,Acey_s0243.g3505,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR007177,domain,,191,35,161,CONTINUOUS
A0A016SDH8,18S rRNA aminocarboxypropyltransferase,197,Acey_s0243.g3505,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR007177,domain,,197,41,167,CONTINUOUS
A0A016SEH1,18S rRNA aminocarboxypropyltransferase,248,Acey_s0243.g3505,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR007177,domain,,248,92,218,CONTINUOUS
A0A017SR24,18S rRNA aminocarboxypropyltransferase,386,TSR3,1388766,Aspergillus ruber (strain CBS 135680),Aspergillus ruber (strain CBS 135680),True,IPR007177,domain,,386,78,204,CONTINUOUS
A0A022QT14,18S rRNA aminocarboxypropyltransferase,235,MIMGU_mgv1a012913mg,4155,Erythranthe guttata,Erythranthe guttata (Yellow monkey flower),True,IPR007177,domain,,235,59,182,CONTINUOUS
A0A022QX00,18S rRNA aminocarboxypropyltransferase,236,MIMGU_mgv1a012913mg,4155,Erythranthe guttata,Erythranthe guttata (Yellow monkey flower),True,IPR007177,domain,,236,59,182,CONTINUOUS
A0A022Y5T6,18S rRNA aminocarboxypropyltransferase,373,TSR3,1215331,Trichophyton soudanense CBS 452.61,Trichophyton soudanense CBS 452.61,True,IPR007177,domain,,373,76,202,CONTINUOUS
A0A023B5Q5,18S rRNA aminocarboxypropyltransferase,274,GNI_088420,110365,Gregarina niphandrodes,Gregarina niphandrodes (Septate eugregarine),True,IPR007177,domain,,274,134,260,CONTINUOUS
A0A023F1X6,Putative ribosome bioproteinsis protein tsr3,249,,30076,Triatoma infestans,Triatoma infestans (Assassin bug),True,IPR007177,domain,,249,90,215,CONTINUOUS
A0A023GES7,18S rRNA aminocarboxypropyltransferase,280,,251400,Amblyomma triste,Amblyomma triste (Neotropical tick),True,IPR007177,domain,,280,92,217,CONTINUOUS
A0A024GQX0,18S rRNA aminocarboxypropyltransferase,330,BN9_103820,65357,Albugo candida,Albugo candida,True,IPR007177,domain,,330,77,204,CONTINUOUS
A0A026WXS9,18S rRNA aminocarboxypropyltransferase,262,X777_14577,2015173,Ooceraea biroi,Ooceraea biroi (Clonal raider ant),True,IPR007177,domain,,262,92,217,CONTINUOUS
A0A031LJU7,16S rRNA aminocarboxypropyltransferase,170,CM19_09435,1160895,Candidatus Acidianus copahuensis,Candidatus Acidianus copahuensis,True,IPR007177,domain,,170,36,160,CONTINUOUS
A0A034WTA6,18S rRNA aminocarboxypropyltransferase,271,LOC105226585,27457,Bactrocera dorsalis,Bactrocera dorsalis (Oriental fruit fly),True,IPR007177,domain,,271,102,228,CONTINUOUS
A0A058Z598,18S rRNA aminocarboxypropyltransferase,261,H696_03868,691883,Fonticula alba,Fonticula alba (Slime mold),True,IPR007177,domain,,261,142,249,CONTINUOUS
A0A059EYL1,18S rRNA aminocarboxypropyltransferase,170,TSR3,1288291,Anncaliia algerae PRA339,Anncaliia algerae PRA339,True,IPR007177,domain,,170,40,165,CONTINUOUS
A0A059JIJ1,18S rRNA aminocarboxypropyltransferase,374,TSR3,1215338,Trichophyton interdigitale (strain MR816),Trichophyton interdigitale (strain MR816),True,IPR007177,domain,,374,76,202,CONTINUOUS
A0A060HG33,16S rRNA aminocarboxypropyltransferase,168,NVIE_001420,926571,Nitrososphaera viennensis EN76,Nitrososphaera viennensis EN76,True,IPR007177,domain,,168,38,163,CONTINUOUS
A0A060RW04,18S rRNA aminocarboxypropyltransferase,318,TSR3,5854,Plasmodium reichenowi,Plasmodium reichenowi,True,IPR007177,domain,,318,169,293,CONTINUOUS
A0A060SN65,18S rRNA aminocarboxypropyltransferase,222,TSR3,5643,Pycnoporus cinnabarinus,Pycnoporus cinnabarinus (Cinnabar-red polypore),True,IPR007177,domain,,222,35,160,CONTINUOUS
A0A060VV59,18S rRNA aminocarboxypropyltransferase,305,tsr3,8022,Oncorhynchus mykiss,Oncorhynchus mykiss (Rainbow trout),True,IPR007177,domain,,305,96,222,CONTINUOUS
A0A061DD06,18S rRNA aminocarboxypropyltransferase,267,BBBOND_0309120,5866,Babesia bigemina,Babesia bigemina,True,IPR007177,domain,,267,112,238,CONTINUOUS
A0A061DIB2,18S rRNA aminocarboxypropyltransferase,261,TCM_001191,3641,Theobroma cacao,Theobroma cacao (Cacao),True,IPR007177,domain,,261,85,211,CONTINUOUS
A0A061JBI0,18S rRNA aminocarboxypropyltransferase,266,TRSC58_00533,429131,Trypanosoma rangeli SC58,Trypanosoma rangeli SC58,True,IPR007177,domain,,266,75,201,CONTINUOUS
A0A062V0L7,16S rRNA aminocarboxypropyltransferase,177,ANME2D_01122,1392998,Candidatus Methanoperedens nitratireducens,Candidatus Methanoperedens nitratireducens,True,IPR007177,domain,,177,53,177,CONTINUOUS
A0A066WL57,18S rRNA aminocarboxypropyltransferase,304,TSR3,1037660,Tilletiaria anomala (strain ATCC 24038 / CBS 436.72 / UBC 951),Tilletiaria anomala (strain ATCC 24038 / CBS 436.72 / UBC 951),True,IPR007177,domain,,304,142,266,CONTINUOUS
A0A066XS25,18S rRNA aminocarboxypropyltransferase,391,TSR3,1173701,Colletotrichum sublineola,Colletotrichum sublineola (Sorghum anthracnose fungus),True,IPR007177,domain,,391,80,206,CONTINUOUS
A0A067CD51,18S rRNA aminocarboxypropyltransferase,408,SPRG_10246,695850,Saprolegnia parasitica (strain CBS 223.65),Saprolegnia parasitica (strain CBS 223.65),True,IPR007177,domain,,408,99,225,CONTINUOUS
A0A067DXK4,16S/18S rRNA aminocarboxypropyltransferase Tsr3 C-terminal domain-containing protein,192,CISIN_1g039464mg,2711,Citrus sinensis,Citrus sinensis (Sweet orange),True,IPR007177,domain,,192,13,139,CONTINUOUS
A0A067KG65,16S/18S rRNA aminocarboxypropyltransferase Tsr3 C-terminal domain-containing protein,119,JCGZ_09360,180498,Jatropha curcas,Jatropha curcas (Barbados nut),True,IPR007177,domain,,119,19,67,CONTINUOUS
