protein_accession,protein_name,protein_length,gene,organism_taxid,organism_name,organism_fullname,in_alphafold,interpro_accession,entry_type,entry_integrated,interpro_protein_length,fragment_start,fragment_end,fragment_status
A0A014MDN9,tRNA-uridine aminocarboxypropyltransferase,224,AX13_03195,1457173,Comamonas aquatica DA1877,Comamonas aquatica DA1877,True,IPR005636,domain,,224,7,216,CONTINUOUS
A0A014NIL1,tRNA-uridine aminocarboxypropyltransferase,228,BG55_22850,69222,Erwinia mallotivora,Erwinia mallotivora,True,IPR005636,domain,,228,27,219,CONTINUOUS
A0A014NPF8,tRNA-uridine aminocarboxypropyltransferase,254,AX13_11125,1457173,Comamonas aquatica DA1877,Comamonas aquatica DA1877,True,IPR005636,domain,,254,34,233,CONTINUOUS
A0A015JHM1,tRNA-uridine aminocarboxypropyltransferase 1,287,RirG_234470,1432141,Rhizophagus irregularis (strain DAOM 197198w),Rhizophagus irregularis (strain DAOM 197198w),True,IPR005636,domain,,287,77,266,CONTINUOUS
A0A016UJ13,tRNA-uridine aminocarboxypropyltransferase 1,202,Acey_s0037.g3480,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR005636,domain,,202,3,176,CONTINUOUS
A0A016UJI4,tRNA-uridine aminocarboxypropyltransferase 1,238,Acey_s0037.g3480,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR005636,domain,,238,23,212,CONTINUOUS
A0A017T275,tRNA-uridine aminocarboxypropyltransferase,217,CAP_5680,1192034,Chondromyces apiculatus (strain DSM 436 / NBRC 100084 / Cm a2),Chondromyces apiculatus (strain DSM 436 / NBRC 100084 / Cm a2),True,IPR005636,domain,,217,18,204,CONTINUOUS
A0A022PV94,tRNA-uridine aminocarboxypropyltransferase,244,MIMGU_mgv1a018454mg,4155,Erythranthe guttata,Erythranthe guttata (Yellow monkey flower),True,IPR005636,domain,,244,17,238,CONTINUOUS
A0A022PYE1,tRNA-uridine aminocarboxypropyltransferase,371,MIMGU_mgv1a008500mg,4155,Erythranthe guttata,Erythranthe guttata (Yellow monkey flower),True,IPR005636,domain,,371,9,362,CONTINUOUS
A0A022QQ35,tRNA-uridine aminocarboxypropyltransferase,337,MIMGU_mgv1a009576mg,4155,Erythranthe guttata,Erythranthe guttata (Yellow monkey flower),True,IPR005636,domain,,337,97,324,CONTINUOUS
A0A023BA74,tRNA-uridine aminocarboxypropyltransferase 1,246,GNI_041480,110365,Gregarina niphandrodes,Gregarina niphandrodes (Septate eugregarine),True,IPR005636,domain,,246,1,202,CONTINUOUS
A0A023EMZ7,tRNA-uridine aminocarboxypropyltransferase,237,,7160,Aedes albopictus,Aedes albopictus (Asian tiger mosquito),False,IPR005636,domain,,237,24,216,CONTINUOUS
A0A023F7G4,tRNA-uridine aminocarboxypropyltransferase 1,279,,30076,Triatoma infestans,Triatoma infestans (Assassin bug),True,IPR005636,domain,,279,39,267,CONTINUOUS
A0A023F8W5,tRNA-uridine aminocarboxypropyltransferase,249,,30076,Triatoma infestans,Triatoma infestans (Assassin bug),True,IPR005636,domain,,249,21,216,CONTINUOUS
