protein_accession,protein_name,protein_length,gene,organism_taxid,organism_name,organism_fullname,in_alphafold,interpro_accession,entry_type,entry_integrated,interpro_protein_length,fragment_start,fragment_end,fragment_status
A0A015IFA8,Uncharacterized protein,580,RirG_251280,1432141,Rhizophagus irregularis (strain DAOM 197198w),Rhizophagus irregularis (strain DAOM 197198w),True,IPR003929,domain,,580,199,296,CONTINUOUS
A0A015JCM6,Uncharacterized protein,766,RirG_251280,1432141,Rhizophagus irregularis (strain DAOM 197198w),Rhizophagus irregularis (strain DAOM 197198w),True,IPR003929,domain,,766,199,296,CONTINUOUS
A0A015JYC0,RCK N-terminal domain-containing protein,737,RirG_050300,1432141,Rhizophagus irregularis (strain DAOM 197198w),Rhizophagus irregularis (strain DAOM 197198w),True,IPR003929,domain,,737,190,287,CONTINUOUS
A0A016UYU4,RCK N-terminal domain-containing protein,995,Acey_s0021.g271,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR003929,domain,,995,412,504,CONTINUOUS
A0A016V1I0,RCK N-terminal domain-containing protein,1003,Acey_s0021.g271,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR003929,domain,,1003,412,504,CONTINUOUS
A0A016WEH5,BK channel,583,Acey_s0772.g2228,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR003929,domain,,583,508,582,CONTINUOUS
A0A016WEH7,BK channel,706,Acey_s0772.g2228,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR003929,domain,,706,508,584,CONTINUOUS
A0A016WEH7,BK channel,706,Acey_s0772.g2228,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR003929,domain,,706,616,666,CONTINUOUS
A0A023VYA1,BK channel,1151,,70415,Trichuris muris,Trichuris muris (Mouse whipworm),True,IPR003929,domain,,1151,521,609,CONTINUOUS
A0A023VYH4,BK channel,626,,70415,Trichuris muris,Trichuris muris (Mouse whipworm),True,IPR003929,domain,,626,521,596,CONTINUOUS
A0A023VZ69,BK channel,1104,,6279,Brugia malayi,Brugia malayi (Filarial nematode worm),True,IPR003929,domain,,1104,508,596,CONTINUOUS
A0A023VZN2,BK channel,598,,70415,Trichuris muris,Trichuris muris (Mouse whipworm),True,IPR003929,domain,,598,521,559,CONTINUOUS
A0A023VZW9,BK channel,1123,,70415,Trichuris muris,Trichuris muris (Mouse whipworm),True,IPR003929,domain,,1123,528,616,CONTINUOUS
A0A024GB60,Uncharacterized protein,955,BN9_043560,65357,Albugo candida,Albugo candida,True,IPR003929,domain,,955,456,545,CONTINUOUS
A0A024GBU0,Potassium channel domain-containing protein,989,BN9_047690,65357,Albugo candida,Albugo candida,True,IPR003929,domain,,989,381,478,CONTINUOUS
A0A024GR58,RCK N-terminal domain-containing protein,1127,BN9_105000,65357,Albugo candida,Albugo candida,True,IPR003929,domain,,1127,492,606,CONTINUOUS
A0A024GRL8,RCK N-terminal domain-containing protein,1144,BN9_105010,65357,Albugo candida,Albugo candida,True,IPR003929,domain,,1144,492,606,CONTINUOUS
A0A026WGX6,RCK N-terminal domain-containing protein,738,X777_05258,2015173,Ooceraea biroi,Ooceraea biroi (Clonal raider ant),True,IPR003929,domain,,738,76,159,CONTINUOUS
A0A026WY47,RCK N-terminal domain-containing protein,637,X777_13988,2015173,Ooceraea biroi,Ooceraea biroi (Clonal raider ant),True,IPR003929,domain,,637,524,618,CONTINUOUS
A0A060S0G0,Potassium channel,1458,K2,5854,Plasmodium reichenowi,Plasmodium reichenowi,False,IPR003929,domain,,1458,523,618,CONTINUOUS
A0A061D4M1,"Calcium-activated BK potassium channel alpha subunit containing protein,putative",1082,BBBOND_0201540,5866,Babesia bigemina,Babesia bigemina,True,IPR003929,domain,,1082,532,623,CONTINUOUS
A0A061J9F0,Calcium/potassium channel (CAKC),869,TRSC58_02356,429131,Trypanosoma rangeli SC58,Trypanosoma rangeli SC58,True,IPR003929,domain,,869,404,491,CONTINUOUS
A0A061JCS7,Uncharacterized protein,1152,TRSC58_00062,429131,Trypanosoma rangeli SC58,Trypanosoma rangeli SC58,True,IPR003929,domain,,1152,506,590,CONTINUOUS
A0A061QHQ8,BK channel,1072,CSH_0438,6928,Cupiennius salei,Cupiennius salei (American wandering spider),True,IPR003929,domain,,1072,469,557,CONTINUOUS
A0A061QLG9,BK channel,1170,CSH_0432,6928,Cupiennius salei,Cupiennius salei (American wandering spider),True,IPR003929,domain,,1170,494,582,CONTINUOUS
A0A067BHJ0,Uncharacterized protein,642,SPRG_16731,695850,Saprolegnia parasitica (strain CBS 223.65),Saprolegnia parasitica (strain CBS 223.65),True,IPR003929,domain,,642,27,116,CONTINUOUS
A0A067BSU5,Potassium channel domain-containing protein,1099,SPRG_14748,695850,Saprolegnia parasitica (strain CBS 223.65),Saprolegnia parasitica (strain CBS 223.65),True,IPR003929,domain,,1099,526,620,CONTINUOUS
A0A067CFF5,Ion transport domain-containing protein,1078,SPRG_07194,695850,Saprolegnia parasitica (strain CBS 223.65),Saprolegnia parasitica (strain CBS 223.65),True,IPR003929,domain,,1078,439,529,CONTINUOUS
A0A067CH26,Uncharacterized protein,631,SPRG_05240,695850,Saprolegnia parasitica (strain CBS 223.65),Saprolegnia parasitica (strain CBS 223.65),True,IPR003929,domain,,631,99,185,CONTINUOUS
A0A067CHR5,Potassium channel domain-containing protein,1156,SPRG_05254,695850,Saprolegnia parasitica (strain CBS 223.65),Saprolegnia parasitica (strain CBS 223.65),True,IPR003929,domain,,1156,504,624,CONTINUOUS
A0A067CMR9,BK channel,988,SPRG_03210,695850,Saprolegnia parasitica (strain CBS 223.65),Saprolegnia parasitica (strain CBS 223.65),True,IPR003929,domain,,988,403,491,CONTINUOUS
A0A067CMT5,BK channel,1085,SPRG_03227,695850,Saprolegnia parasitica (strain CBS 223.65),Saprolegnia parasitica (strain CBS 223.65),True,IPR003929,domain,,1085,407,494,CONTINUOUS
A0A067CN95,RCK N-terminal domain-containing protein,1003,SPRG_03209,695850,Saprolegnia parasitica (strain CBS 223.65),Saprolegnia parasitica (strain CBS 223.65),True,IPR003929,domain,,1003,431,522,CONTINUOUS
A0A067CPR9,Uncharacterized protein,997,SPRG_03828,695850,Saprolegnia parasitica (strain CBS 223.65),Saprolegnia parasitica (strain CBS 223.65),True,IPR003929,domain,,997,420,508,CONTINUOUS
A0A067CRV9,BK channel,949,SPRG_03211,695850,Saprolegnia parasitica (strain CBS 223.65),Saprolegnia parasitica (strain CBS 223.65),True,IPR003929,domain,,949,423,509,CONTINUOUS
A0A067CUP9,BK channel,1010,SPRG_19043,695850,Saprolegnia parasitica (strain CBS 223.65),Saprolegnia parasitica (strain CBS 223.65),True,IPR003929,domain,,1010,477,564,CONTINUOUS
A0A067CW14,Calcium-activated potassium channel BK alpha subunit domain-containing protein,1030,SPRG_04190,695850,Saprolegnia parasitica (strain CBS 223.65),Saprolegnia parasitica (strain CBS 223.65),True,IPR003929,domain,,1030,484,567,CONTINUOUS
A0A067CXG5,Uncharacterized protein,1081,SPRG_03799,695850,Saprolegnia parasitica (strain CBS 223.65),Saprolegnia parasitica (strain CBS 223.65),True,IPR003929,domain,,1081,488,577,CONTINUOUS
