protein_accession,protein_name,protein_length,gene,organism_taxid,organism_name,organism_fullname,in_alphafold,interpro_accession,entry_type,entry_integrated,interpro_protein_length,fragment_start,fragment_end,fragment_status
A0A010QB93,tRNA (guanine(9)-N1)-methyltransferase,467,CFIO01_05826,1445577,Colletotrichum fioriniae PJ7,Colletotrichum fioriniae PJ7,True,IPR038459,homologous_superfamily,,467,155,397,CONTINUOUS
A0A016U2Z0,SAM-dependent MTase TRM10-type domain-containing protein,200,Acey_s0059.g2979,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR038459,homologous_superfamily,,200,146,200,CONTINUOUS
A0A016U3F1,SAM-dependent MTase TRM10-type domain-containing protein,390,Acey_s0059.g2979,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR038459,homologous_superfamily,,390,147,351,CONTINUOUS
A0A016U4W8,SAM-dependent MTase TRM10-type domain-containing protein,200,Acey_s0059.g2979,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR038459,homologous_superfamily,,200,3,161,CONTINUOUS
A0A016UV63,SAM-dependent MTase TRM10-type domain-containing protein,428,Acey_s0025.g1126,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR038459,homologous_superfamily,,428,189,388,CONTINUOUS
A0A016VE26,SAM-dependent MTase TRM10-type domain-containing protein,444,Acey_s0011.g1316,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR038459,homologous_superfamily,,444,166,369,CONTINUOUS
A0A016VEF0,SAM-dependent MTase TRM10-type domain-containing protein,443,Acey_s0011.g1316,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR038459,homologous_superfamily,,443,165,368,CONTINUOUS
A0A016VF57,SAM-dependent MTase TRM10-type domain-containing protein,476,Acey_s0011.g1316,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR038459,homologous_superfamily,,476,198,401,CONTINUOUS
A0A016VFY6,SAM-dependent MTase TRM10-type domain-containing protein,475,Acey_s0011.g1316,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR038459,homologous_superfamily,,475,197,400,CONTINUOUS
A0A016VV31,tRNA (guanine(9)-N(1))-methyltransferase,335,Acey_s0004.g2066,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR038459,homologous_superfamily,,335,101,292,CONTINUOUS
