protein_accession,protein_name,protein_length,gene,organism_taxid,organism_name,organism_fullname,in_alphafold,interpro_accession,entry_type,entry_integrated,interpro_protein_length,fragment_start,fragment_end,fragment_status
A0A023BXW2,Lantibiotic dehydratase N-terminal domain-containing protein,761,ATO12_09125,1317122,Aquimarina atlantica,Aquimarina atlantica,True,IPR006827,domain,,761,45,691,CONTINUOUS
A0A060LRP1,Lantibiotic dehydratase,953,BleG1_0224,1246626,Shouchella lehensis G1,Shouchella lehensis G1,True,IPR006827,domain,,953,31,394,CONTINUOUS
A0A060LRP1,Lantibiotic dehydratase,953,BleG1_0224,1246626,Shouchella lehensis G1,Shouchella lehensis G1,True,IPR006827,domain,,953,481,623,CONTINUOUS
A0A066YS95,Lantibiotic dehydratase N-terminal domain-containing protein,702,KCH_42190,1348663,Kitasatospora cheerisanensis KCTC 2395,Kitasatospora cheerisanensis KCTC 2395,True,IPR006827,domain,,702,14,444,CONTINUOUS
A0A066YSY6,Lantibiotic dehydratase,1031,KCH_35230,1348663,Kitasatospora cheerisanensis KCTC 2395,Kitasatospora cheerisanensis KCTC 2395,True,IPR006827,domain,,1031,44,691,CONTINUOUS
A0A066YW18,Lantibiotic dehydratase N-terminal domain-containing protein,549,KCH_59950,1348663,Kitasatospora cheerisanensis KCTC 2395,Kitasatospora cheerisanensis KCTC 2395,True,IPR006827,domain,,549,265,507,CONTINUOUS
A0A066Z1U2,Lantibiotic dehydratase N-terminal domain-containing protein,697,KCH_07560,1348663,Kitasatospora cheerisanensis KCTC 2395,Kitasatospora cheerisanensis KCTC 2395,True,IPR006827,domain,,697,157,601,CONTINUOUS
A0A066Z4R3,Lantibiotic dehydratase N-terminal domain-containing protein,856,KCH_10250,1348663,Kitasatospora cheerisanensis KCTC 2395,Kitasatospora cheerisanensis KCTC 2395,True,IPR006827,domain,,856,527,756,CONTINUOUS
A0A066Z699,Lantibiotic dehydratase domain-containing protein,1013,KCH_23670,1348663,Kitasatospora cheerisanensis KCTC 2395,Kitasatospora cheerisanensis KCTC 2395,True,IPR006827,domain,,1013,38,682,CONTINUOUS
A0A066ZB01,Lantibiotic dehydratase N-terminal domain-containing protein,265,KCH_07550,1348663,Kitasatospora cheerisanensis KCTC 2395,Kitasatospora cheerisanensis KCTC 2395,True,IPR006827,domain,,265,8,168,CONTINUOUS
A0A074LN00,Lantibiotic dehydratase,1043,EL26_09810,1157490,Tumebacillus flagellatus,Tumebacillus flagellatus,True,IPR006827,domain,,1043,44,697,CONTINUOUS
A0A076MIH9,Lantibiotic dehydratase N-terminal domain-containing protein,316,AMETH_0551,1068978,Amycolatopsis methanolica 239,Amycolatopsis methanolica 239,True,IPR006827,domain,,316,6,307,CONTINUOUS
A0A076MIS8,Lantibiotic dehydratase N-terminal domain-containing protein,248,AMETH_0552,1068978,Amycolatopsis methanolica 239,Amycolatopsis methanolica 239,True,IPR006827,domain,,248,13,184,CONTINUOUS
A0A081NX31,Lantibiotic dehydratase,1040,ET33_18985,1501230,Paenibacillus tyrphae,Paenibacillus tyrphae,True,IPR006827,domain,,1040,34,686,CONTINUOUS
A0A081PCS7,Lantibiotic dehydratase,1054,N180_02370,1358423,Pedobacter antarcticus 4BY,Pedobacter antarcticus 4BY,True,IPR006827,domain,,1054,32,679,CONTINUOUS
A0A081XHE9,Lantibiotic dehydratase,996,BU52_33005,55952,Streptomyces toyocaensis,Streptomyces toyocaensis,True,IPR006827,domain,,996,54,680,CONTINUOUS
A0A081XN72,Lantibiotic dehydratase,1045,BU52_22490,55952,Streptomyces toyocaensis,Streptomyces toyocaensis,True,IPR006827,domain,,1045,51,700,CONTINUOUS
A0A081XXU2,Lantibiotic dehydratase N-terminal domain-containing protein,760,BU52_04885,55952,Streptomyces toyocaensis,Streptomyces toyocaensis,True,IPR006827,domain,,760,80,369,CONTINUOUS
A0A081XXU2,Lantibiotic dehydratase N-terminal domain-containing protein,760,BU52_04885,55952,Streptomyces toyocaensis,Streptomyces toyocaensis,True,IPR006827,domain,,760,444,708,CONTINUOUS
A0A081XXU6,Lantibiotic dehydratase N-terminal domain-containing protein,776,BU52_04905,55952,Streptomyces toyocaensis,Streptomyces toyocaensis,True,IPR006827,domain,,776,84,717,CONTINUOUS
A0A085ZPG8,Lantibiotic dehydratase N-terminal domain-containing protein,747,IW19_12725,362418,Flavobacterium reichenbachii,Flavobacterium reichenbachii,True,IPR006827,domain,,747,56,701,CONTINUOUS
A0A085ZPI4,Lantibiotic dehydratase N-terminal domain-containing protein,769,IW19_12840,362418,Flavobacterium reichenbachii,Flavobacterium reichenbachii,True,IPR006827,domain,,769,46,722,CONTINUOUS
A0A085ZWX8,Lantibiotic dehydratase,1027,IX38_00030,421531,Chryseobacterium luteum,Chryseobacterium luteum,True,IPR006827,domain,,1027,45,691,CONTINUOUS
A0A085ZY82,Lantibiotic dehydratase N-terminal domain-containing protein,716,IX38_02540,421531,Chryseobacterium luteum,Chryseobacterium luteum,True,IPR006827,domain,,716,33,669,CONTINUOUS
A0A085ZZK4,Lantibiotic dehydratase,995,IW15_22150,445961,Chryseobacterium soli,Chryseobacterium soli,True,IPR006827,domain,,995,45,679,CONTINUOUS
A0A086A489,Lantibiotic dehydratase N-terminal domain-containing protein,735,IW15_14900,445961,Chryseobacterium soli,Chryseobacterium soli,True,IPR006827,domain,,735,44,700,CONTINUOUS
A0A086ABE4,Lantibiotic dehydratase N-terminal domain-containing protein,751,IW15_00730,445961,Chryseobacterium soli,Chryseobacterium soli,True,IPR006827,domain,,751,44,694,CONTINUOUS
A0A086AHH3,Lantibiotic dehydratase N-terminal domain-containing protein,745,IQ37_18015,558152,Chryseobacterium piperi,Chryseobacterium piperi,True,IPR006827,domain,,745,44,705,CONTINUOUS
A0A086AIM2,Lantibiotic dehydratase N-terminal domain-containing protein,733,B0A62_12335,991,Flavobacterium hydatis,Flavobacterium hydatis,True,IPR006827,domain,,733,41,686,CONTINUOUS
A0A086AJU1,Lantibiotic dehydratase N-terminal domain-containing protein,747,B0A62_02500,991,Flavobacterium hydatis,Flavobacterium hydatis,True,IPR006827,domain,,747,41,705,CONTINUOUS
A0A086ARK5,Lantibiotic dehydratase,1044,B0A62_04595,991,Flavobacterium hydatis,Flavobacterium hydatis,True,IPR006827,domain,,1044,35,682,CONTINUOUS
A0A086B5L1,Lantibiotic dehydratase,1013,IQ37_13460,558152,Chryseobacterium piperi,Chryseobacterium piperi,True,IPR006827,domain,,1013,30,666,CONTINUOUS
A0A086MR88,Uncharacterized protein,1040,FM21_34530,67332,Streptomyces mutabilis,Streptomyces mutabilis,True,IPR006827,domain,,1040,54,709,CONTINUOUS
A0A089YR83,Lantibiotic dehydratase N-terminal domain-containing protein,895,SGLAU_00735,1907,Streptomyces glaucescens,Streptomyces glaucescens,True,IPR006827,domain,,895,153,654,CONTINUOUS
A0A094YT16,Lantibiotic dehydratase,963,BALCAV_0214995,1218173,Alkalihalobacillus alcalophilus ATCC 27647 = CGMCC 1.3604,Alkalihalobacillus alcalophilus ATCC 27647 = CGMCC 1.3604,True,IPR006827,domain,,963,38,640,CONTINUOUS
A0A096XPN8,Lantibiotic dehydratase N-terminal domain-containing protein,864,ctmE,1509516,Streptomyces sp. NRRL WC-3908,Streptomyces sp. NRRL WC-3908,True,IPR006827,domain,,864,140,788,CONTINUOUS
