protein_accession,protein_name,protein_length,gene,organism_taxid,organism_name,organism_fullname,in_alphafold,interpro_accession,entry_type,entry_integrated,interpro_protein_length,fragment_start,fragment_end,fragment_status
A0A073J1D9,Cadmium carbonic anhydrase,290,SUH3_13690,1402135,Pseudosulfitobacter pseudonitzschiae,Pseudosulfitobacter pseudonitzschiae,True,IPR018883,family,,290,79,257,CONTINUOUS
A0A090IAU4,Uncharacterized protein,286,MT2528_4684,80854,Moritella viscosa,Moritella viscosa,True,IPR018883,family,,286,77,255,CONTINUOUS
A0A090N4Y7,"Carbonic anhydrase, cadmium-binding",348,OT_ostta08g04120,70448,Ostreococcus tauri,Ostreococcus tauri (Marine green alga),True,IPR018883,family,,348,136,303,CONTINUOUS
A0A094IMX9,Cadmium carbonic anhydrase,280,IDAT_09150,1517416,Pseudidiomarina atlantica,Pseudidiomarina atlantica,True,IPR018883,family,,280,71,248,CONTINUOUS
A0A099KS52,Cadmium carbonic anhydrase,283,ND2E_2930,28229,Colwellia psychrerythraea,Colwellia psychrerythraea,True,IPR018883,family,,283,74,252,CONTINUOUS
A0A0A7EH23,Cadmium carbonic anhydrase,257,OM33_12450,1348114,Pseudoalteromonas piratica,Pseudoalteromonas piratica,True,IPR018883,family,,257,52,225,CONTINUOUS
A0A0D3J9C4,Uncharacterized protein,655,,280463,Emiliania huxleyi (strain CCMP1516),Emiliania huxleyi (strain CCMP1516),True,IPR018883,family,,655,426,614,CONTINUOUS
A0A0D3JCF4,Uncharacterized protein,292,,280463,Emiliania huxleyi (strain CCMP1516),Emiliania huxleyi (strain CCMP1516),True,IPR018883,family,,292,97,267,CONTINUOUS
A0A0D3KJ64,Alpha-carbonic anhydrase domain-containing protein,381,,280463,Emiliania huxleyi (strain CCMP1516),Emiliania huxleyi (strain CCMP1516),True,IPR018883,family,,381,97,322,CONTINUOUS
A0A0F4PPN0,Cadmium carbonic anhydrase,257,TW72_14735,151081,Pseudoalteromonas ruthenica,Pseudoalteromonas ruthenica,True,IPR018883,family,,257,50,224,CONTINUOUS
A0A0F4QK96,Cadmium carbonic anhydrase,258,TW77_13370,43658,Pseudoalteromonas rubra,Pseudoalteromonas rubra,True,IPR018883,family,,258,53,226,CONTINUOUS
A0A0H2MU60,Cadmium carbonic anhydrase,289,WH96_13800,1489064,Kiloniella spongiae,Kiloniella spongiae,True,IPR018883,family,,289,79,256,CONTINUOUS
A0A0K6IMB9,Uncharacterized protein,283,Ga0061065_10679,1137284,Marinomonas fungiae,Marinomonas fungiae,True,IPR018883,family,,283,74,251,CONTINUOUS
A0A0M0J5S4,Uncharacterized protein,1015,Ctob_001638,1460289,Chrysochromulina tobinii,Chrysochromulina tobinii,True,IPR018883,family,,1015,779,975,CONTINUOUS
A0A0M0JPR6,EF-hand domain-containing protein,807,Ctob_011236,1460289,Chrysochromulina tobinii,Chrysochromulina tobinii,True,IPR018883,family,,807,570,767,CONTINUOUS
A0A0M6Y0M0,Cadmium carbonic anhydrase,263,LAL4801_01680,187304,Roseibium aggregatum,Roseibium aggregatum,True,IPR018883,family,,263,56,229,CONTINUOUS
A0A0N1EVI8,Cadmium carbonic anhydrase,287,ADS77_07645,187330,Pseudoalteromonas porphyrae,Pseudoalteromonas porphyrae,True,IPR018883,family,,287,77,254,CONTINUOUS
A0A0N7LZK6,Uncharacterized protein,283,TRN7648_01699,441103,Tropicibacter naphthalenivorans,Tropicibacter naphthalenivorans,True,IPR018883,family,,283,74,252,CONTINUOUS
A0A0P1G5I0,Cadmium carbonic anhydrase,282,TRN7648_01184,441103,Tropicibacter naphthalenivorans,Tropicibacter naphthalenivorans,True,IPR018883,family,,282,75,249,CONTINUOUS
A0A0P1G5N9,Cadmium carbonic anhydrase,299,TRN7648_01185,441103,Tropicibacter naphthalenivorans,Tropicibacter naphthalenivorans,True,IPR018883,family,,299,56,266,CONTINUOUS
A0A0S2K106,Cadmium carbonic anhydrase,279,PP2015_1461,161398,Pseudoalteromonas phenolica,Pseudoalteromonas phenolica,True,IPR018883,family,,279,70,247,CONTINUOUS
A0A0S2TAA2,Cadmium carbonic anhydrase,282,Tel_02325,1748243,Candidatus Tenderia electrophaga,Candidatus Tenderia electrophaga,True,IPR018883,family,,282,69,250,CONTINUOUS
A0A120DHN5,Cadmium carbonic anhydrase,286,APQ14_18635,1194427,Vibrio toranzoniae,Vibrio toranzoniae,True,IPR018883,family,,286,77,253,CONTINUOUS
A0A128F3V2,Cadmium carbonic anhydrase repeat protein,285,GMA8713_01659,646534,Grimontia marina,Grimontia marina,True,IPR018883,family,,285,75,252,CONTINUOUS
A0A128F6Z3,Cadmium carbonic anhydrase repeat protein,285,GCE9029_03008,1796497,Grimontia celer,Grimontia celer,True,IPR018883,family,,285,74,252,CONTINUOUS
A0A135ICN0,Cadmium carbonic anhydrase,283,ATN88_05885,294935,Enterovibrio coralii,Enterovibrio coralii,True,IPR018883,family,,283,72,249,CONTINUOUS
A0A166YEI2,Cadmium carbonic anhydrase,261,N475_09525,1365250,Pseudoalteromonas luteoviolacea DSM 6061,Pseudoalteromonas luteoviolacea DSM 6061,True,IPR018883,family,,261,56,229,CONTINUOUS
A0A1B0ZW06,Cadmium carbonic anhydrase,287,JL2886_03352,60890,Phaeobacter gallaeciensis,Phaeobacter gallaeciensis,True,IPR018883,family,,287,76,254,CONTINUOUS
A0A1B9QZ98,Cadmium carbonic anhydrase,297,A6E14_10365,723171,Vibrio genomosp. F10,Vibrio genomosp. F10,True,IPR018883,family,,297,79,265,CONTINUOUS
A0A1C3ER30,Cadmium carbonic anhydrase,285,A8L45_03660,1080227,Veronia pacifica,Veronia pacifica,True,IPR018883,family,,285,76,253,CONTINUOUS
A0A1C3IKB4,Cadmium carbonic anhydrase,286,ACED57_00600,693153,Vibrio atlanticus,Vibrio atlanticus,True,IPR018883,family,,286,76,253,CONTINUOUS
A0A1C3J9E0,Cadmium carbonic anhydrase repeat protein,287,VCE7224_00383,446372,Vibrio celticus,Vibrio celticus,True,IPR018883,family,,287,76,253,CONTINUOUS
A0A1C3JSZ2,Cadmium carbonic anhydrase repeat protein,285,MGA5116_03240,1806667,Marinomonas gallaica,Marinomonas gallaica,True,IPR018883,family,,285,76,253,CONTINUOUS
A0A1E5CAM3,Cadmium carbonic anhydrase,285,A1OK_07135,1185651,Enterovibrio norvegicus FF-454,Enterovibrio norvegicus FF-454,True,IPR018883,family,,285,74,252,CONTINUOUS
A0A1E7EUG8,FAS1 domain-containing protein,531,DCA1,635003,Fragilariopsis cylindrus CCMP1102,Fragilariopsis cylindrus CCMP1102,True,IPR018883,family,,531,264,479,CONTINUOUS
A0A1E7EZ89,Delta carbonic anhydrase,394,DCA2,635003,Fragilariopsis cylindrus CCMP1102,Fragilariopsis cylindrus CCMP1102,True,IPR018883,family,,394,124,350,CONTINUOUS
A0A1G5PN50,Cadmium carbonic anhydrase repeat-containing protein,282,SAMN04488118_101385,1156985,Epibacterium ulvae,Epibacterium ulvae,True,IPR018883,family,,282,74,250,CONTINUOUS
