protein_accession,protein_name,protein_length,gene,organism_taxid,organism_name,organism_fullname,in_alphafold,interpro_accession,entry_type,entry_integrated,interpro_protein_length,fragment_start,fragment_end,fragment_status
A0A009IR17,tRNA (guanine-N(1)-)-methyltransferase,246,trmD,1310613,Acinetobacter baumannii (strain 1295743),Acinetobacter baumannii (strain 1295743),True,IPR002649,family,,246,1,246,CONTINUOUS
A0A009Q427,tRNA (guanine-N(1)-)-methyltransferase,246,trmD,1310607,Acinetobacter baumannii 625974,Acinetobacter baumannii 625974,True,IPR002649,family,,246,1,246,CONTINUOUS
A0A009SIG5,tRNA (guanine-N(1)-)-methyltransferase,246,trmD,1310630,Acinetobacter baumannii 99063,Acinetobacter baumannii 99063,True,IPR002649,family,,246,1,246,CONTINUOUS
A0A010RQZ5,tRNA (guanine-N(1)-)-methyltransferase,250,trmD,1042209,Pseudomonas fluorescens HK44,Pseudomonas fluorescens HK44,True,IPR002649,family,,250,1,250,CONTINUOUS
A0A010YSJ8,tRNA (guanine-N(1)-)-methyltransferase,269,trmD,915437,Saccharibacillus sacchari DSM 19268,Saccharibacillus sacchari DSM 19268,True,IPR002649,family,,269,1,269,CONTINUOUS
A0A011LY81,tRNA (guanine-N(1)-)-methyltransferase,251,trmD,85402,Mannheimia granulomatis,Mannheimia granulomatis,True,IPR002649,family,,251,1,251,CONTINUOUS
A0A011PPL0,tRNA (guanine-N(1)-)-methyltransferase,265,trmD,1454001,Candidatus Accumulibacter adjunctus,Candidatus Accumulibacter adjunctus,True,IPR002649,family,,265,1,265,CONTINUOUS
A0A011QKH0,tRNA (guanine-N(1)-)-methyltransferase,268,trmD,1454003,Candidatus Accumulibacter appositus,Candidatus Accumulibacter appositus,True,IPR002649,family,,268,1,268,CONTINUOUS
A0A011QN13,tRNA (guanine-N(1)-)-methyltransferase,268,trmD,522306,Accumulibacter regalis,Accumulibacter regalis,True,IPR002649,family,,268,1,268,CONTINUOUS
A0A011TIJ3,tRNA (guanine-N(1)-)-methyltransferase,243,trmD,529,Brucella anthropi,Brucella anthropi,True,IPR002649,family,,243,1,243,CONTINUOUS
A0A011TPK9,tRNA (guanine-N(1)-)-methyltransferase,228,trmD,69279,Aquamicrobium defluvii,Aquamicrobium defluvii,True,IPR002649,family,,228,1,228,CONTINUOUS
A0A011W1M8,tRNA (guanine-N(1)-)-methyltransferase,244,trmD,1341156,Ruminococcus albus SY3,Ruminococcus albus SY3,True,IPR002649,family,,244,1,244,CONTINUOUS
A0A014L7E3,tRNA (guanine-N(1)-)-methyltransferase,228,trmD,1188239,Mesomycoplasma ovipneumoniae 14811,Mesomycoplasma ovipneumoniae 14811,True,IPR002649,family,,228,1,228,CONTINUOUS
A0A014LZ99,tRNA (guanine-N(1)-)-methyltransferase,256,trmD,69222,Erwinia mallotivora,Erwinia mallotivora,True,IPR002649,family,,256,1,256,CONTINUOUS
A0A014P4R5,tRNA (guanine-N(1)-)-methyltransferase,256,trmD,1457173,Comamonas aquatica DA1877,Comamonas aquatica DA1877,True,IPR002649,family,,256,1,256,CONTINUOUS
A0A015TU48,tRNA (guanine-N(1)-)-methyltransferase,225,trmD,1339315,Bacteroides fragilis str. 3988T(B)14,Bacteroides fragilis str. 3988T(B)14,True,IPR002649,family,,225,1,225,CONTINUOUS
A0A015VWN7,tRNA (guanine-N(1)-)-methyltransferase,225,trmD,1339316,Bacteroides fragilis str. 3998T(B)3,Bacteroides fragilis str. 3998T(B)3,True,IPR002649,family,,225,1,225,CONTINUOUS
A0A015YJ98,tRNA (guanine-N(1)-)-methyltransferase,225,trmD,1339280,Bacteroides fragilis str. 2-F-2 #4,Bacteroides fragilis str. 2-F-2 #4,True,IPR002649,family,,225,1,225,CONTINUOUS
A0A015Z095,tRNA (guanine-N(1)-)-methyltransferase,225,trmD,1339327,Bacteroides fragilis str. S36L11,Bacteroides fragilis str. S36L11,True,IPR002649,family,,225,1,225,CONTINUOUS
A0A016E7L4,tRNA (guanine-N(1)-)-methyltransferase,225,trmD,1339314,Bacteroides fragilis str. 3976T8,Bacteroides fragilis str. 3976T8,True,IPR002649,family,,225,1,225,CONTINUOUS
A0A016QKP1,tRNA (guanine-N(1)-)-methyltransferase,267,trmD,1476583,Deinococcus phoenicis,Deinococcus phoenicis,True,IPR002649,family,,267,1,267,CONTINUOUS
A0A016XI72,tRNA (guanine-N(1)-)-methyltransferase,260,trmD,1458275,Hylemonella gracilis str. Niagara R,Hylemonella gracilis str. Niagara R,True,IPR002649,family,,260,1,260,CONTINUOUS
A0A017H4E4,tRNA (guanine-N(1)-)-methyltransferase,236,trmD,1226633,Fusobacterium necrophorum subsp. funduliforme B35,Fusobacterium necrophorum subsp. funduliforme B35,True,IPR002649,family,,236,1,236,CONTINUOUS
A0A017H8Y9,tRNA (guanine-N(1)-)-methyltransferase,276,trmD,1122180,Limimaricola hongkongensis DSM 17492,Limimaricola hongkongensis DSM 17492,True,IPR002649,family,,276,1,276,CONTINUOUS
A0A017HTY5,tRNA (guanine-N(1)-)-methyltransferase,273,trmD,442562,Rubellimicrobium mesophilum DSM 19309,Rubellimicrobium mesophilum DSM 19309,True,IPR002649,family,,273,1,273,CONTINUOUS
A0A017RXK6,tRNA (guanine-N(1)-)-methyltransferase,248,trmD,1403537,Fervidicella metallireducens AeB,Fervidicella metallireducens AeB,True,IPR002649,family,,248,1,248,CONTINUOUS
A0A021VV48,tRNA (guanine-N(1)-)-methyltransferase,266,trmD,948458,Actinotalea ferrariae CF5-4,Actinotalea ferrariae CF5-4,True,IPR002649,family,,266,1,266,CONTINUOUS
A0A022KZY1,tRNA (guanine-N(1)-)-methyltransferase,240,trmD,1249481,Brachybacterium muris UCD-AY4,Brachybacterium muris UCD-AY4,True,IPR002649,family,,240,1,240,CONTINUOUS
A0A022PBQ3,tRNA (guanine-N(1)-)-methyltransferase,250,trmD,2805098,Photorhabdus aegyptia,Photorhabdus aegyptia,True,IPR002649,family,,250,1,250,CONTINUOUS
A0A023BQU5,tRNA (guanine-N(1)-)-methyltransferase,225,trmD,1317122,Aquimarina atlantica,Aquimarina atlantica,True,IPR002649,family,,225,1,225,CONTINUOUS
A0A023CU00,tRNA (guanine-N(1)-)-methyltransferase,247,trmD,1423806,Liquorilactobacillus sucicola DSM 21376 = JCM 15457,Liquorilactobacillus sucicola DSM 21376 = JCM 15457,True,IPR002649,family,,247,1,247,CONTINUOUS
