protein_accession,protein_name,protein_length,gene,organism_taxid,organism_name,organism_fullname,in_alphafold,interpro_accession,entry_type,entry_integrated,interpro_protein_length,fragment_start,fragment_end,fragment_status
A0A010QI30,S-adenosylmethionine synthase,401,CFIO01_12056,1445577,Colletotrichum fioriniae PJ7,Colletotrichum fioriniae PJ7,True,IPR022628,domain,,401,22,120,CONTINUOUS
A0A010Z1P9,S-adenosylmethionine synthase,398,metK,927661,Cryptosporangium arvum DSM 44712,Cryptosporangium arvum DSM 44712,True,IPR022628,domain,,398,4,101,CONTINUOUS
A0A011MET9,S-adenosylmethionine synthase,389,metK,1454001,Candidatus Accumulibacter adjunctus,Candidatus Accumulibacter adjunctus,True,IPR022628,domain,,389,5,102,CONTINUOUS
A0A011P517,S-adenosylmethionine synthase,383,metK,85402,Mannheimia granulomatis,Mannheimia granulomatis,True,IPR022628,domain,,383,5,101,CONTINUOUS
A0A011Q966,S-adenosylmethionine synthase,388,metK,522306,Accumulibacter regalis,Accumulibacter regalis,True,IPR022628,domain,,388,5,102,CONTINUOUS
A0A011UWK6,Methionine adenosyltransferase,421,DES43_11982,69279,Aquamicrobium defluvii,Aquamicrobium defluvii,True,IPR022628,domain,,421,5,130,CONTINUOUS
A0A011WMT1,S-adenosylmethionine synthase,390,metK,1341156,Ruminococcus albus SY3,Ruminococcus albus SY3,True,IPR022628,domain,,390,4,101,CONTINUOUS
A0A014LX47,S-adenosylmethionine synthase,383,metK,69222,Erwinia mallotivora,Erwinia mallotivora,True,IPR022628,domain,,383,4,101,CONTINUOUS
A0A014MEW0,S-adenosylmethionine synthase,394,metK,1457173,Comamonas aquatica DA1877,Comamonas aquatica DA1877,True,IPR022628,domain,,394,5,101,CONTINUOUS
A0A015JFQ4,S-adenosylmethionine synthase,388,RirG_106030,1432141,Rhizophagus irregularis (strain DAOM 197198w),Rhizophagus irregularis (strain DAOM 197198w),True,IPR022628,domain,,388,7,104,CONTINUOUS
A0A016QLX9,S-adenosylmethionine synthase,408,metK,1476583,Deinococcus phoenicis,Deinococcus phoenicis,True,IPR022628,domain,,408,4,101,CONTINUOUS
A0A016VW44,S-adenosylmethionine synthase,405,Acey_s0004.g2057,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR022628,domain,,405,6,103,CONTINUOUS
A0A017HAK0,S-adenosylmethionine synthase,393,metK,1122180,Limimaricola hongkongensis DSM 17492,Limimaricola hongkongensis DSM 17492,True,IPR022628,domain,,393,5,108,CONTINUOUS
A0A017HB91,S-adenosylmethionine synthase,394,metK,442562,Rubellimicrobium mesophilum DSM 19309,Rubellimicrobium mesophilum DSM 19309,True,IPR022628,domain,,394,6,108,CONTINUOUS
A0A017RRZ9,S-adenosylmethionine synthase,393,metK,1403537,Fervidicella metallireducens AeB,Fervidicella metallireducens AeB,True,IPR022628,domain,,393,3,99,CONTINUOUS
A0A017RYI0,S-adenosylmethionine synthase,394,metK,1403537,Fervidicella metallireducens AeB,Fervidicella metallireducens AeB,True,IPR022628,domain,,394,4,100,CONTINUOUS
A0A017S3Q5,S-adenosylmethionine synthetase N-terminal domain-containing protein,134,EURHEDRAFT_526039,1388766,Aspergillus ruber (strain CBS 135680),Aspergillus ruber (strain CBS 135680),True,IPR022628,domain,,134,10,105,CONTINUOUS
A0A017SG79,S-adenosylmethionine synthase,387,EURHEDRAFT_455611,1388766,Aspergillus ruber (strain CBS 135680),Aspergillus ruber (strain CBS 135680),True,IPR022628,domain,,387,9,107,CONTINUOUS
A0A017T565,S-adenosylmethionine synthase,436,metK,1192034,Chondromyces apiculatus (strain DSM 436 / NBRC 100084 / Cm a2),Chondromyces apiculatus (strain DSM 436 / NBRC 100084 / Cm a2),True,IPR022628,domain,,436,4,101,CONTINUOUS
A0A021VQG8,S-adenosylmethionine synthase,399,metK,948458,Actinotalea ferrariae CF5-4,Actinotalea ferrariae CF5-4,True,IPR022628,domain,,399,8,104,CONTINUOUS
A0A022KYW7,S-adenosylmethionine synthase,401,metK,1249481,Brachybacterium muris UCD-AY4,Brachybacterium muris UCD-AY4,True,IPR022628,domain,,401,8,103,CONTINUOUS
A0A022PKD5,S-adenosylmethionine synthase,390,metK,2805098,Photorhabdus aegyptia,Photorhabdus aegyptia,True,IPR022628,domain,,390,4,101,CONTINUOUS
A0A022PV61,S-adenosylmethionine synthase,393,MIMGU_mgv1a007849mg,4155,Erythranthe guttata,Erythranthe guttata (Yellow monkey flower),True,IPR022628,domain,,393,4,101,CONTINUOUS
A0A022QQL6,S-adenosylmethionine synthase,454,MIMGU_mgv1a006187mg,4155,Erythranthe guttata,Erythranthe guttata (Yellow monkey flower),True,IPR022628,domain,,454,68,165,CONTINUOUS
A0A022R6Q5,S-adenosylmethionine synthase,380,MIMGU_mgv1a021639mg,4155,Erythranthe guttata,Erythranthe guttata (Yellow monkey flower),True,IPR022628,domain,,380,4,93,CONTINUOUS
A0A022RFM6,S-adenosylmethionine synthase,390,MIMGU_mgv1a007936mg,4155,Erythranthe guttata,Erythranthe guttata (Yellow monkey flower),True,IPR022628,domain,,390,4,101,CONTINUOUS
A0A022XU54,S-adenosylmethionine synthase,390,H105_03914,1215331,Trichophyton soudanense CBS 452.61,Trichophyton soudanense CBS 452.61,True,IPR022628,domain,,390,12,110,CONTINUOUS
A0A022XV46,S-adenosylmethionine synthase,332,H105_03914,1215331,Trichophyton soudanense CBS 452.61,Trichophyton soudanense CBS 452.61,True,IPR022628,domain,,332,1,52,CONTINUOUS
A0A023B4I1,S-adenosylmethionine synthase,393,GNI_101080,110365,Gregarina niphandrodes,Gregarina niphandrodes (Septate eugregarine),True,IPR022628,domain,,393,6,103,CONTINUOUS
A0A023B797,S-adenosylmethionine synthase,395,GNI_071920,110365,Gregarina niphandrodes,Gregarina niphandrodes (Septate eugregarine),True,IPR022628,domain,,395,4,101,CONTINUOUS
A0A023BWZ8,S-adenosylmethionine synthase,418,metK,1317122,Aquimarina atlantica,Aquimarina atlantica,True,IPR022628,domain,,418,3,99,CONTINUOUS
A0A023D5F7,Methionine adenosyltransferase,395,Amme_041_044,1231351,Acidomonas methanolica NBRC 104435,Acidomonas methanolica NBRC 104435,True,IPR022628,domain,,395,7,105,CONTINUOUS
A0A023DCR0,S-adenosylmethionine synthase,404,metK,1220594,Parageobacillus caldoxylosilyticus NBRC 107762,Parageobacillus caldoxylosilyticus NBRC 107762,True,IPR022628,domain,,404,6,103,CONTINUOUS
A0A023EQX3,S-adenosylmethionine synthase,327,,7160,Aedes albopictus,Aedes albopictus (Asian tiger mosquito),True,IPR022628,domain,,327,1,46,CONTINUOUS
