protein_accession,protein_name,protein_length,gene,organism_taxid,organism_name,organism_fullname,in_alphafold,interpro_accession,entry_type,entry_integrated,interpro_protein_length,fragment_start,fragment_end,fragment_status
A0A010R3W2,18S rRNA aminocarboxypropyltransferase,393,TSR3,1445577,Colletotrichum fioriniae PJ7,Colletotrichum fioriniae PJ7,True,IPR007209,domain,,393,42,75,CONTINUOUS
A0A010RH46,Translation initiation factor RLI1,607,CFIO01_11095,1445577,Colletotrichum fioriniae PJ7,Colletotrichum fioriniae PJ7,True,IPR007209,domain,,607,6,36,CONTINUOUS
A0A015IMC1,Translation initiation factor RLI1,602,RirG_198760,1432141,Rhizophagus irregularis (strain DAOM 197198w),Rhizophagus irregularis (strain DAOM 197198w),True,IPR007209,domain,,602,6,36,CONTINUOUS
A0A015IY57,18S rRNA aminocarboxypropyltransferase,293,TSR3,1432141,Rhizophagus irregularis (strain DAOM 197198w),Rhizophagus irregularis (strain DAOM 197198w),True,IPR007209,domain,,293,63,94,CONTINUOUS
A0A015KI80,18S rRNA aminocarboxypropyltransferase,231,TSR3,1432141,Rhizophagus irregularis (strain DAOM 197198w),Rhizophagus irregularis (strain DAOM 197198w),True,IPR007209,domain,,231,1,32,CONTINUOUS
A0A016SDD5,18S rRNA aminocarboxypropyltransferase,191,Acey_s0243.g3505,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR007209,domain,,191,1,30,CONTINUOUS
A0A016SDH8,18S rRNA aminocarboxypropyltransferase,197,Acey_s0243.g3505,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR007209,domain,,197,4,36,CONTINUOUS
A0A016SEH1,18S rRNA aminocarboxypropyltransferase,248,Acey_s0243.g3505,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR007209,domain,,248,55,87,CONTINUOUS
A0A016VT78,Uncharacterized protein,610,Acey_s0005.g2684,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR007209,domain,,610,18,47,CONTINUOUS
A0A017SR24,18S rRNA aminocarboxypropyltransferase,386,TSR3,1388766,Aspergillus ruber (strain CBS 135680),Aspergillus ruber (strain CBS 135680),True,IPR007209,domain,,386,41,74,CONTINUOUS
A0A022RB67,Uncharacterized protein,605,MIMGU_mgv1a003146mg,4155,Erythranthe guttata,Erythranthe guttata (Yellow monkey flower),True,IPR007209,domain,,605,6,36,CONTINUOUS
A0A022RR63,4Fe-4S ferredoxin-type domain-containing protein,35,MIMGU_mgv1a0213242mg,4155,Erythranthe guttata,Erythranthe guttata (Yellow monkey flower),True,IPR007209,domain,,35,8,35,CONTINUOUS
A0A022XVD9,Translation initiation factor RLI1,604,H105_03948,1215331,Trichophyton soudanense CBS 452.61,Trichophyton soudanense CBS 452.61,True,IPR007209,domain,,604,6,36,CONTINUOUS
A0A022Y5T6,18S rRNA aminocarboxypropyltransferase,373,TSR3,1215331,Trichophyton soudanense CBS 452.61,Trichophyton soudanense CBS 452.61,True,IPR007209,domain,,373,40,67,CONTINUOUS
A0A023B5Q5,18S rRNA aminocarboxypropyltransferase,274,GNI_088420,110365,Gregarina niphandrodes,Gregarina niphandrodes (Septate eugregarine),True,IPR007209,domain,,274,97,129,CONTINUOUS
A0A023BA86,RNase L inhibitor ATP-binding cassette domain protein,615,GNI_041610,110365,Gregarina niphandrodes,Gregarina niphandrodes (Septate eugregarine),True,IPR007209,domain,,615,21,50,CONTINUOUS
A0A023EUZ8,Putative rnase l inhibitor abc superfamily,559,,7160,Aedes albopictus,Aedes albopictus (Asian tiger mosquito),True,IPR007209,domain,,559,14,44,CONTINUOUS
