protein_accession,protein_name,protein_length,gene,organism_taxid,organism_name,organism_fullname,in_alphafold,interpro_accession,entry_type,entry_integrated,interpro_protein_length,fragment_start,fragment_end,fragment_status
A0A031LKF0,S-adenosylmethionine synthetase,404,CM19_08825,1160895,Candidatus Acidianus copahuensis,Candidatus Acidianus copahuensis,True,IPR027790,family,,404,1,404,CONTINUOUS
A0A062V2Y0,S-adenosylmethionine synthase,398,mat,1392998,Candidatus Methanoperedens nitratireducens,Candidatus Methanoperedens nitratireducens,True,IPR027790,family,,398,3,398,CONTINUOUS
A0A062V8F6,Archaeal S-adenosylmethionine synthetase,399,ANME2D_02396,1392998,Candidatus Methanoperedens nitratireducens,Candidatus Methanoperedens nitratireducens,True,IPR027790,family,,399,1,397,CONTINUOUS
A0A075LU79,S-adenosylmethionine synthase,405,mat,1343739,Palaeococcus pacificus DY20341,Palaeococcus pacificus DY20341,True,IPR027790,family,,405,6,405,CONTINUOUS
A0A076LBD4,S-adenosylmethionine synthetase,327,JH146_0632,1301915,Methanocaldococcus bathoardescens,Methanocaldococcus bathoardescens,True,IPR027790,family,,327,1,327,CONTINUOUS
A0A090I8M3,S-adenosylmethionine synthase,401,mat,2162,Methanobacterium formicicum,Methanobacterium formicicum,True,IPR027790,family,,401,1,401,CONTINUOUS
A0A097QVW5,S-adenosylmethionine synthase,405,mat,1505907,Thermococcus eurythermalis,Thermococcus eurythermalis,True,IPR027790,family,,405,6,405,CONTINUOUS
A0A099T1L9,S-adenosylmethionine synthase,401,mat,2226,Methanococcoides methylutens,Methanococcoides methylutens,True,IPR027790,family,,401,3,400,CONTINUOUS
A0A0A7LB97,Mat protein,408,mat,1577791,Candidatus Methanoplasma termitum,Candidatus Methanoplasma termitum,True,IPR027790,family,,408,4,408,CONTINUOUS
A0A0B5BFV8,S-adenosylmethionine synthetase,400,GPICK_12275,345632,Geobacter pickeringii,Geobacter pickeringii,True,IPR027790,family,,400,2,400,CONTINUOUS
A0A0C1QY06,S-adenosylmethionine synthetase,400,SE37_10230,1340425,Geobacter anodireducens,Geobacter anodireducens,True,IPR027790,family,,400,2,400,CONTINUOUS
A0A0C2J853,Methionine adenosyltransferase,424,LP52_18165,183763,Streptomonospora alba,Streptomonospora alba,True,IPR027790,family,,424,34,420,CONTINUOUS
A0A0C4YQ93,Archaeal S-adenosylmethionine synthetase,393,RR42_s3054,68895,Cupriavidus basilensis,Cupriavidus basilensis,True,IPR027790,family,,393,6,393,CONTINUOUS
