protein_accession,protein_name,protein_length,gene,organism_taxid,organism_name,organism_fullname,in_alphafold,interpro_accession,entry_type,entry_integrated,interpro_protein_length,fragment_start,fragment_end,fragment_status
A0A062V2Y0,S-adenosylmethionine synthase,398,mat,1392998,Candidatus Methanoperedens nitratireducens,Candidatus Methanoperedens nitratireducens,True,IPR002795,family,,398,2,398,CONTINUOUS
A0A075LU79,S-adenosylmethionine synthase,405,mat,1343739,Palaeococcus pacificus DY20341,Palaeococcus pacificus DY20341,True,IPR002795,family,,405,5,405,CONTINUOUS
A0A090I8M3,S-adenosylmethionine synthase,401,mat,2162,Methanobacterium formicicum,Methanobacterium formicicum,True,IPR002795,family,,401,1,401,CONTINUOUS
A0A097QVW5,S-adenosylmethionine synthase,405,mat,1505907,Thermococcus eurythermalis,Thermococcus eurythermalis,True,IPR002795,family,,405,5,405,CONTINUOUS
A0A099T1L9,S-adenosylmethionine synthase,401,mat,2226,Methanococcoides methylutens,Methanococcoides methylutens,True,IPR002795,family,,401,2,401,CONTINUOUS
A0A0D6JPS1,S-adenosylmethionine synthase,402,mat,1476858,Haloferax massiliensis,Haloferax massiliensis,True,IPR002795,family,,402,3,402,CONTINUOUS
A0A0E3KZ69,S-adenosylmethionine synthase,398,mat,523844,Methanosarcina thermophila (strain ATCC 43570 / DSM 1825 / OCM 12 / VKM B-1830 / TM-1),Methanosarcina thermophila (strain ATCC 43570 / DSM 1825 / OCM 12 / VKM B-1830 / TM-1),True,IPR002795,family,,398,2,398,CONTINUOUS
A0A0E3P0W8,S-adenosylmethionine synthase,398,mat,1434120,Methanosarcina siciliae T4/M,Methanosarcina siciliae T4/M,True,IPR002795,family,,398,2,398,CONTINUOUS
A0A0E3Q7H6,S-adenosylmethionine synthase,398,mat,1434123,Methanosarcina vacuolata Z-761,Methanosarcina vacuolata Z-761,True,IPR002795,family,,398,2,398,CONTINUOUS
A0A0E3QRS9,S-adenosylmethionine synthase,398,mat,1434108,Methanosarcina barkeri MS,Methanosarcina barkeri MS,True,IPR002795,family,,398,2,398,CONTINUOUS
A0A0E3S2T8,S-adenosylmethionine synthase,398,mat,1434111,Methanosarcina lacustris Z-7289,Methanosarcina lacustris Z-7289,True,IPR002795,family,,398,2,398,CONTINUOUS
A0A0E3SGV2,S-adenosylmethionine synthase,398,mat,1434110,Methanosarcina horonobensis HB-1 = JCM 15518,Methanosarcina horonobensis HB-1 = JCM 15518,True,IPR002795,family,,398,2,398,CONTINUOUS
A0A0E3ST22,S-adenosylmethionine synthase,401,mat,1434104,Methanococcoides methylutens MM1,Methanococcoides methylutens MM1,True,IPR002795,family,,401,2,401,CONTINUOUS
A0A0E3WXA9,S-adenosylmethionine synthase,398,mat,1434107,Methanosarcina barkeri 3,Methanosarcina barkeri 3,True,IPR002795,family,,398,2,398,CONTINUOUS
A0A0F7ICA8,S-adenosylmethionine synthase,399,mat,113653,Geoglobus ahangari,Geoglobus ahangari,True,IPR002795,family,,399,1,399,CONTINUOUS
