protein_accession,protein_name,protein_length,gene,organism_taxid,organism_name,organism_fullname,in_alphafold,interpro_accession,entry_type,entry_integrated,interpro_protein_length,fragment_start,fragment_end,fragment_status
A0A010RI68,Essential for mitotic growth 1,261,CFIO01_13307,1445577,Colletotrichum fioriniae PJ7,Colletotrichum fioriniae PJ7,True,IPR005304,family,,261,36,260,CONTINUOUS
A0A015LVM3,Emg1p,326,RirG_196110,1432141,Rhizophagus irregularis (strain DAOM 197198w),Rhizophagus irregularis (strain DAOM 197198w),True,IPR005304,family,,326,43,325,CONTINUOUS
A0A016TVE1,Nep1 ribosome biogenesis protein,144,Acey_s0072.g642,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR005304,family,,144,55,144,CONTINUOUS
A0A016TW13,18S rRNA (pseudouridine-N1)-methyltransferase,239,Acey_s0072.g642,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR005304,family,,239,19,239,CONTINUOUS
A0A016TW58,18S rRNA (pseudouridine-N1)-methyltransferase,244,Acey_s0072.g642,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR005304,family,,244,19,244,CONTINUOUS
A0A016TWL8,Nep1 ribosome biogenesis protein,162,Acey_s0072.g642,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR005304,family,,162,19,153,CONTINUOUS
A0A016TXC8,Uncharacterized protein,167,Acey_s0072.g642,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR005304,family,,167,19,158,CONTINUOUS
A0A017SIW1,Essential for mitotic growth 1,260,EURHEDRAFT_376768,1388766,Aspergillus ruber (strain CBS 135680),Aspergillus ruber (strain CBS 135680),True,IPR005304,family,,260,35,260,CONTINUOUS
A0A022PX50,Ribosomal RNA small subunit methyltransferase NEP1,288,MIMGU_mgv1a011236mg,4155,Erythranthe guttata,Erythranthe guttata (Yellow monkey flower),True,IPR005304,family,,288,56,288,CONTINUOUS
A0A022VTL3,Ribosomal RNA small subunit methyltransferase NEP1,273,H103_07170,1215330,Trichophyton rubrum CBS 288.86,Trichophyton rubrum CBS 288.86,True,IPR005304,family,,273,18,273,CONTINUOUS
A0A022XJL7,Ribosomal RNA small subunit methyltransferase NEP1,264,H105_07182,1215331,Trichophyton soudanense CBS 452.61,Trichophyton soudanense CBS 452.61,True,IPR005304,family,,264,32,264,CONTINUOUS
A0A023AZF8,Ribosome biogenesis protein NEP1,238,GNI_157030,110365,Gregarina niphandrodes,Gregarina niphandrodes (Septate eugregarine),True,IPR005304,family,,238,17,237,CONTINUOUS
A0A023BC13,EMG1/NEP1 methyltransferase,281,GNI_018240,110365,Gregarina niphandrodes,Gregarina niphandrodes (Septate eugregarine),True,IPR005304,family,,281,45,114,CONTINUOUS
A0A023ELI7,18S rRNA (pseudouridine-N1)-methyltransferase,257,,7160,Aedes albopictus,Aedes albopictus (Asian tiger mosquito),True,IPR005304,family,,257,27,257,CONTINUOUS
A0A023F8U3,18S rRNA (pseudouridine-N1)-methyltransferase,236,,30076,Triatoma infestans,Triatoma infestans (Assassin bug),True,IPR005304,family,,236,6,236,CONTINUOUS
A0A023FI35,18S rRNA (pseudouridine-N1)-methyltransferase,215,,34607,Amblyomma cajennense,Amblyomma cajennense (Cayenne tick),True,IPR005304,family,,215,14,212,CONTINUOUS
A0A023FXR1,18S rRNA (pseudouridine-N1)-methyltransferase,228,,251391,Amblyomma parvum,Amblyomma parvum (South American tick),True,IPR005304,family,,228,14,227,CONTINUOUS
A0A023GGC8,18S rRNA (pseudouridine-N1)-methyltransferase,228,,251400,Amblyomma triste,Amblyomma triste (Neotropical tick),True,IPR005304,family,,228,14,227,CONTINUOUS
A0A024GF71,Ribosomal RNA small subunit methyltransferase NEP1,215,BN9_064160,65357,Albugo candida,Albugo candida,True,IPR005304,family,,215,4,215,CONTINUOUS
A0A024SNE6,Nucleolar essential protein 1,261,M419DRAFT_106196,1344414,Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30),Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30),True,IPR005304,family,,261,34,261,CONTINUOUS
A0A024TXT3,Ribosomal RNA small subunit methyltransferase NEP1,216,H310_08312,157072,Aphanomyces invadans,Aphanomyces invadans,True,IPR005304,family,,216,6,216,CONTINUOUS
A0A024V495,Small subunit rRNA processing factor,448,PFFVO_03518,1036723,Plasmodium falciparum Vietnam Oak-Knoll (FVO),Plasmodium falciparum Vietnam Oak-Knoll (FVO),True,IPR005304,family,,448,177,447,CONTINUOUS
A0A024V9Q6,Ribosomal RNA small subunit methyltransferase NEP1,269,PFFVO_02157,1036723,Plasmodium falciparum Vietnam Oak-Knoll (FVO),Plasmodium falciparum Vietnam Oak-Knoll (FVO),True,IPR005304,family,,269,35,268,CONTINUOUS
A0A024VNX6,Small subunit rRNA processing factor,367,PFFCH_02550,1036724,Plasmodium falciparum FCH/4,Plasmodium falciparum FCH/4,True,IPR005304,family,,367,177,365,CONTINUOUS
A0A024VS15,Ribosomal RNA small subunit methyltransferase NEP1,207,PFFCH_01438,1036724,Plasmodium falciparum FCH/4,Plasmodium falciparum FCH/4,True,IPR005304,family,,207,21,206,CONTINUOUS
A0A024W4J7,Small subunit rRNA processing factor,367,PFTANZ_03886,1036725,Plasmodium falciparum Tanzania (2000708),Plasmodium falciparum Tanzania (2000708),True,IPR005304,family,,367,177,365,CONTINUOUS
