#Knot_type	Category	Uniprot	Organism	pLDDT_knotcore	Protein_name	InterPro	Gene_name	#FILTER: InterPro=IPR032695;IPR013649 AND Category=AF4;
7_5	AF4	A0A671YR77-F1	Gilthead sea bream	66.2	Integrin, alpha 6a	IPR000413,IPR013517,IPR013519,IPR013649,IPR018184,IPR028994,IPR032695	
6_3	AF4	A0A310STA2-F1	Eufriesea mexicana	72.8	Integrin alpha-PS1	IPR000413,IPR013517,IPR013519,IPR013649,IPR028994,IPR032695	WN48_07949
6_3	AF4	A0A452SNI0-F1	American black bear	70.2	Integrin subunit alpha 6	IPR000413,IPR013517,IPR013519,IPR013649,IPR018184,IPR028994,IPR032695	ITGA6
6_3	AF4	A0A3Q1CS76-F1	Clown anemonefish	66.7	Integrin subunit alpha 6	IPR000413,IPR013517,IPR013519,IPR013649,IPR018184,IPR028994,IPR032695	
6_2	AF4	A0A0R3S2B6-F1	Elaeophora elaphi	62.7	Integrin_alpha2 domain-containing protein	IPR000413,IPR013517,IPR013519,IPR013649,IPR018184,IPR028994,IPR032695	
5_2	AF4	A0A667XHC1-F1	pinecone soldierfish	75.0	Integrin, alpha V	IPR000413,IPR013517,IPR013519,IPR013649,IPR018184,IPR028994,IPR032695	
5_2	AF4	A0A0P7V496-F1	Asian bonytongue	74.4	Integrin alpha-6-like	IPR000413,IPR013517,IPR013519,IPR013649,IPR018184,IPR028994,IPR032695	Z043_104583
5_2	AF4	A0A6J2CIK0-F1	California sealion	71.8	integrin alpha-6 isoform X2	IPR000413,IPR013517,IPR013519,IPR013649,IPR018184,IPR028994,IPR032695	ITGA6
5_2	AF4	A0A2Y9SNK6-F1	Sperm whale	71.4	integrin alpha-6 isoform X1	IPR000413,IPR013517,IPR013519,IPR013649,IPR018184,IPR028994,IPR032695	ITGA6
5_2	AF4	M3VUR4-F1	Cat	70.3	Integrin subunit alpha 6	IPR000413,IPR013517,IPR013519,IPR013649,IPR018184,IPR028994,IPR032695	ITGA6
5_2	AF4	A0A6Q2Y6Q7-F1	Northern pike	69.6	Integrin subunit alpha V	IPR000413,IPR013517,IPR013519,IPR013649,IPR018184,IPR028994,IPR032695	
5_2	AF4	A0A667FZY8-F1	Canada lynx	69.5	Integrin subunit alpha 8	IPR000413,IPR013519,IPR013649,IPR018184,IPR028994,IPR032695	
5_2	AF4	A0A674GPV2-F1	Zebra finch	65.0	Integrin subunit alpha 5	IPR000413,IPR013517,IPR013519,IPR013649,IPR018184,IPR028994,IPR032695	ITGA5
5_2	AF4	A0A7N5ZSZ2-F1	Climbing perch	64.1	Integrin, alpha 6a	IPR000413,IPR013517,IPR013519,IPR013649,IPR018184,IPR028994,IPR032695	
5_2	AF4	A0A6J0YRE2-F1	Odocoileus virginianus	63.5	integrin alpha-7 isoform X4	IPR000413,IPR013517,IPR013519,IPR013649,IPR018184,IPR028994,IPR032695	ITGA7
