#Knot_type	Category	Uniprot	Organism	pLDDT_knotcore	Protein_name	InterPro	Gene_name	#FILTER: InterPro=IPR025349 AND Category=AF4;
3_1	AF4	A0A257N325-F1	Methylococcaceae bacterium	97.0	DUF4253 domain-containing protein	IPR025349	CG439_1247
3_1	AF4	H1PU29-F1	Fusobacterium ulcerans	96.9	DUF4253 domain-containing protein	IPR025349	HMPREF0402_01922
3_1	AF4	C6JKR4-F1	Fusobacterium varium	96.8	DUF4253 domain-containing protein	IPR025349	FVAG_01824
3_1	AF4	A0A5A8AZQ7-F1	Gimesia chilikensis	96.8	DUF4253 domain-containing protein	IPR025349	FYZ48_21315
3_1	AF4	A0A2P1S5S6-F1	Fusobacterium ulcerans	96.8	DUF4253 domain-containing protein	IPR025349	C4N20_11895
3_1	AF4	A0A1G5YDN1-F1	Pseudomonas sp	96.8	DUF4253 domain-containing protein	IPR025349	SAMN03159443_03206
3_1	AF4	A0A0D0PEK9-F1	Pseudomonas fluorescens	96.8	DUF4253 domain-containing protein	IPR025349	RL74_03630
3_1	AF4	A0A1E9IRD5-F1	Fusobacterium sp	96.7	DUF4253 domain-containing protein	IPR025349	HMPREF2747_13570
3_1	AF4	R6RU40-F1	Clostridium sp	96.7	Tetratricopeptide repeat protein	IPR025349	BN719_01850
3_1	AF4	A0A3B6VWE7-F1	Brachyspira hyodysenteriae	96.7	DUF4253 domain-containing protein	IPR025349	BHYOB78_03175
3_1	AF4	A0A1G4T3A5-F1	Paenibacillus tianmuensis	96.7	DUF4253 domain-containing protein	IPR025349	SAMN04487970_104028
3_1	AF4	G0EL95-F1	Serpulina intermedia	96.6	DUF4253 domain-containing protein	IPR025349	Bint_0848
3_1	AF4	A0A1E5NSK8-F1	Brachyspira hampsonii	96.6	DUF4253 domain-containing protein	IPR025349	A9496_05210
3_1	AF4	A0A3B6VIG1-F1	Brachyspira hyodysenteriae 	96.6	DUF4253 domain-containing protein	IPR025349	BHWA1_02621
3_1	AF4	A0A2N7RCH3-F1	Pseudomonas sp	96.6	DUF4253 domain-containing protein	IPR025349	PseAD21_12200
3_1	AF4	A0A3S4V537-F1	Fusobacterium varium	96.6	DUF4253 domain-containing protein	IPR025349	NCTC10560_01051
3_1	AF4	A0A7Y7SZ44-F1	Pseudomonas sp	96.6	DUF4253 domain-containing protein	IPR025349	HX783_10750
3_1	AF4	A0A1E5NEW2-F1	Brachyspira hampsonii	96.6	DUF4253 domain-containing protein	IPR025349	BFL38_07655
3_1	AF4	I4K966-F1	Pseudomonas lactis	96.6	DUF4253 domain-containing protein	IPR025349	PflSS101_2764
3_1	AF4	Q4KCW8-F1	Pseudomonas fluorescens 	96.5	DUF4253 domain-containing protein	IPR025349	PFL_2809
3_1	AF4	A0A0H5AEM5-F1	Pseudomonas trivialis	96.5	DUF4253 domain-containing protein	IPR025349	AA957_21165
3_1	AF4	A0A414TLT1-F1	Fusobacterium varium	96.5	DUF4253 domain-containing protein	IPR025349	DW261_08730
3_1	AF4	A0A2G0XBA5-F1	Pseudomonas sp	96.5	DUF4253 domain-containing protein	IPR025349	AO259_12775
3_1	AF4	A0A1H0NJ58-F1	Pseudomonas poae	96.5	DUF4253 domain-containing protein	IPR025349	SAMN04490208_5436
